model_name,method_slug,sample_index,seam_name,boundary_type,boundary_distance_bin,start_idx,target_idx,input_step,relative_step,relative_time_s,attention_weight,y_true,y_pred,correct
Student-only,student_only,131,c01,1->2,Near,149,154,2,-3,-0.03,0.22378447651863098,1,2,False
Student-only,student_only,131,c01,1->2,Near,149,154,3,-2,-0.02,0.16116079688072205,1,2,False
Student-only,student_only,131,c01,1->2,Near,149,154,4,-1,-0.01,0.3308946490287781,1,2,False
Student-only,student_only,263,a01,1->2,Near,220,225,0,-5,-0.05,0.14270535111427307,1,1,True
Student-only,student_only,263,a01,1->2,Near,220,225,1,-4,-0.04,0.15957123041152954,1,1,True
Student-only,student_only,263,a01,1->2,Near,220,225,2,-3,-0.03,0.20158196985721588,1,1,True
Student-only,student_only,263,a01,1->2,Near,220,225,3,-2,-0.02,0.24305319786071777,1,1,True
Student-only,student_only,263,a01,1->2,Near,220,225,4,-1,-0.01,0.25308817625045776,1,1,True
Student-only,student_only,268,b01,1->2,Near,286,291,0,-5,-0.05,0.12806233763694763,1,1,True
Student-only,student_only,268,b01,1->2,Near,286,291,1,-4,-0.04,0.19548048079013824,1,1,True
Student-only,student_only,268,b01,1->2,Near,286,291,2,-3,-0.03,0.19333571195602417,1,1,True
Student-only,student_only,268,b01,1->2,Near,286,291,3,-2,-0.02,0.1465439349412918,1,1,True
Student-only,student_only,268,b01,1->2,Near,286,291,4,-1,-0.01,0.33657750487327576,1,1,True
Student-only,student_only,21,b01,1->2,Near,285,290,0,-5,-0.05,0.16654399037361145,1,1,True
Student-only,student_only,21,b01,1->2,Near,285,290,1,-4,-0.04,0.17912769317626953,1,1,True
Student-only,student_only,21,b01,1->2,Near,285,290,2,-3,-0.03,0.16847950220108032,1,1,True
Student-only,student_only,21,b01,1->2,Near,285,290,3,-2,-0.02,0.1807994544506073,1,1,True
Student-only,student_only,21,b01,1->2,Near,285,290,4,-1,-0.01,0.3050493896007538,1,1,True
Student-only,student_only,63,a01,1->2,Near,219,224,0,-5,-0.05,0.07862194627523422,1,1,True
Student-only,student_only,63,a01,1->2,Near,219,224,1,-4,-0.04,0.19189795851707458,1,1,True
Student-only,student_only,63,a01,1->2,Near,219,224,2,-3,-0.03,0.19260291755199432,1,1,True
Student-only,student_only,63,a01,1->2,Near,219,224,3,-2,-0.02,0.22227665781974792,1,1,True
Student-only,student_only,63,a01,1->2,Near,219,224,4,-1,-0.01,0.31460055708885193,1,1,True
