model_name,sample_index,x_2d,y_2d,y_true,y_pred,correct,seam_name,start_idx,target_idx,projection_method,projection_space,projection_random_state
Teacher,212,9.474000930786133,18.875946044921875,0,0,True,b01,116,121,umap,strict_raw_latent,42
Teacher,213,7.357357978820801,-2.010619878768921,2,2,True,c01,211,216,umap,strict_raw_latent,42
Teacher,214,9.884199142456055,17.988611221313477,0,0,True,c02,79,84,umap,strict_raw_latent,42
Teacher,215,12.734831809997559,16.054330825805664,0,0,True,c01,25,30,umap,strict_raw_latent,42
Teacher,216,7.870858192443848,-1.3768595457077026,2,2,True,c02,227,232,umap,strict_raw_latent,42
Teacher,217,5.3842339515686035,-7.98124885559082,2,2,True,a01,516,521,umap,strict_raw_latent,42
Teacher,218,11.360316276550293,15.681099891662598,1,1,True,c01,133,138,umap,strict_raw_latent,42
Teacher,219,6.017109394073486,-8.249674797058105,2,2,True,a01,510,515,umap,strict_raw_latent,42
Teacher,220,5.6484222412109375,-7.863076210021973,2,2,True,a01,539,544,umap,strict_raw_latent,42
Teacher,221,8.642979621887207,-2.5661206245422363,2,2,True,b01,536,541,umap,strict_raw_latent,42
Teacher,222,5.694230079650879,-7.843375205993652,2,2,True,a01,517,522,umap,strict_raw_latent,42
Teacher,223,8.0179443359375,-1.3489315509796143,2,2,True,c02,220,225,umap,strict_raw_latent,42
Teacher,224,4.648477077484131,-8.037806510925293,2,1,False,a01,560,565,umap,strict_raw_latent,42
Teacher,225,6.131841659545898,-7.661899089813232,2,2,True,a01,505,510,umap,strict_raw_latent,42
Teacher,226,8.526372909545898,-2.7027876377105713,2,2,True,b01,550,555,umap,strict_raw_latent,42
Teacher,227,-8.754213333129883,-1.7970666885375977,1,1,True,a01,215,220,umap,strict_raw_latent,42
Teacher,228,5.492813587188721,-7.81201171875,2,2,True,a01,541,546,umap,strict_raw_latent,42
Teacher,229,13.124069213867188,15.952695846557617,1,1,True,b01,266,271,umap,strict_raw_latent,42
Teacher,230,5.96511697769165,-8.16422176361084,2,2,True,a01,529,534,umap,strict_raw_latent,42
Teacher,231,7.266402721405029,-2.732553482055664,2,2,True,b01,581,586,umap,strict_raw_latent,42
Teacher,232,9.40762710571289,18.827112197875977,0,0,True,b01,115,120,umap,strict_raw_latent,42
Teacher,233,7.860969543457031,-1.677357792854309,2,2,True,c01,208,213,umap,strict_raw_latent,42
Teacher,234,9.894001007080078,17.97044563293457,0,0,True,c02,81,86,umap,strict_raw_latent,42
Teacher,235,8.510004997253418,-2.2345688343048096,2,2,True,c02,211,216,umap,strict_raw_latent,42
Teacher,236,-8.766314506530762,-1.80917227268219,1,1,True,a01,217,222,umap,strict_raw_latent,42
Teacher,237,8.97481632232666,19.91921615600586,0,0,True,a01,97,102,umap,strict_raw_latent,42
Teacher,238,9.495689392089844,18.44070053100586,0,0,True,c02,67,72,umap,strict_raw_latent,42
Teacher,239,4.616638660430908,-8.081140518188477,2,2,True,a01,558,563,umap,strict_raw_latent,42
Teacher,240,11.358912467956543,15.703126907348633,1,1,True,c01,135,140,umap,strict_raw_latent,42
Teacher,241,8.974371910095215,18.828609466552734,0,0,True,b01,136,141,umap,strict_raw_latent,42
Teacher,242,5.566882610321045,-7.905641078948975,2,2,True,a01,537,542,umap,strict_raw_latent,42
Teacher,243,12.815876007080078,16.055530548095703,0,1,False,c01,26,31,umap,strict_raw_latent,42
Teacher,244,8.186660766601562,-2.7502429485321045,2,2,True,b01,549,554,umap,strict_raw_latent,42
Teacher,245,7.922905445098877,-1.683877944946289,2,2,True,c01,207,212,umap,strict_raw_latent,42
Teacher,246,7.253383636474609,-2.3768534660339355,2,2,True,b01,561,566,umap,strict_raw_latent,42
Teacher,247,8.845856666564941,19.832035064697266,0,0,True,a01,102,107,umap,strict_raw_latent,42
Teacher,248,5.790005207061768,-8.053903579711914,2,2,True,a01,512,517,umap,strict_raw_latent,42
Teacher,249,12.890807151794434,16.01581382751465,0,1,False,c01,28,33,umap,strict_raw_latent,42
Teacher,250,7.968090057373047,-1.3902699947357178,2,2,True,c02,228,233,umap,strict_raw_latent,42
Teacher,251,8.480120658874512,-2.710049629211426,2,2,True,b01,551,556,umap,strict_raw_latent,42
Teacher,252,6.68998908996582,-1.7302603721618652,2,2,True,b01,589,594,umap,strict_raw_latent,42
Teacher,253,5.777401924133301,-8.097851753234863,2,2,True,a01,535,540,umap,strict_raw_latent,42
Teacher,254,5.960738182067871,-7.413422107696533,2,2,True,a01,497,502,umap,strict_raw_latent,42
Teacher,255,9.84255599975586,18.06694221496582,0,0,True,c02,78,83,umap,strict_raw_latent,42
Teacher,256,7.125996112823486,-2.3860394954681396,2,2,True,b01,603,608,umap,strict_raw_latent,42
Teacher,257,8.378849983215332,-2.7247774600982666,2,2,True,b01,548,553,umap,strict_raw_latent,42
Teacher,258,6.070316314697266,-8.071512222290039,2,2,True,a01,532,537,umap,strict_raw_latent,42
Teacher,259,11.3358793258667,15.68679141998291,1,1,True,c01,136,141,umap,strict_raw_latent,42
Teacher,260,5.935046672821045,-8.190595626831055,2,2,True,a01,511,516,umap,strict_raw_latent,42
Teacher,261,9.6011381149292,19.00314712524414,0,0,True,b01,120,125,umap,strict_raw_latent,42
Teacher,262,-8.955166816711426,-1.9979711771011353,1,1,True,a01,209,214,umap,strict_raw_latent,42
Teacher,263,-8.891826629638672,-1.9346551895141602,1,1,True,a01,220,225,umap,strict_raw_latent,42
Teacher,264,8.576188087463379,-2.543158531188965,2,2,True,b01,544,549,umap,strict_raw_latent,42
Teacher,265,-8.927787780761719,-1.9705885648727417,1,1,True,a01,204,209,umap,strict_raw_latent,42
Teacher,266,6.167026519775391,-7.463139057159424,2,2,True,a01,484,489,umap,strict_raw_latent,42
